evidence_key	commit_sha	run_url	artifact_url	artifact_digest	index_sha256	target_cells	parity_report	systemd_run_url	systemd_artifact_url	systemd_artifact_digest	verification_report
debian/steam	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	ubuntu-24-04	docs/parity-reviews/debian-steam.md	-	-	-	docs/evidence-verification/debian-steam.json
debian/go-for-it	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-go-for-it.md	-	-	-	docs/evidence-verification/debian-go-for-it.json
debian/hexchat	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-hexchat.md	-	-	-	docs/evidence-verification/debian-hexchat.json
debian/konversation	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-konversation.md	-	-	-	docs/evidence-verification/debian-konversation.json
debian/liferea	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-liferea.md	-	-	-	docs/evidence-verification/debian-liferea.json
debian/blender	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-blender.md	-	-	-	docs/evidence-verification/debian-blender.json
debian/build-tools	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-build-tools.md	-	-	-	docs/evidence-verification/debian-build-tools.json
debian/caffeine	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-caffeine.md	-	-	-	docs/evidence-verification/debian-caffeine.json
debian/calibre	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-calibre.md	-	-	-	docs/evidence-verification/debian-calibre.json
debian/conky	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-conky.md	-	-	-	docs/evidence-verification/debian-conky.json
debian/vim	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-vim.md	-	-	-	docs/evidence-verification/debian-vim.json
debian/neovim	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-neovim.md	-	-	-	docs/evidence-verification/debian-neovim.json
debian/midnight-commander	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-midnight-commander.md	-	-	-	docs/evidence-verification/debian-midnight-commander.json
debian/irssi	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-irssi.md	-	-	-	docs/evidence-verification/debian-irssi.json
debian/vuze	93f4a37923d32f1aa67f71f2f7f22140be0d77a5	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194	https://github.com/Yunushan/linux-software-installer/actions/runs/29652229194/artifacts/8432314089	sha256:756df89ebcc27889612281bd46caa05bde73d6268e3db045019b69a9a8dd71d3	02c6e4edfd8c76657790b20562e7c94b44b9761fc76061115d1c39826ed2ce46	debian-12,ubuntu-24-04,ubuntu-26-04	docs/parity-reviews/debian-vuze.md	-	-	-	docs/evidence-verification/debian-vuze.json
